31471,121282
31472,110515
31473,82010
31474,59204
31475,90000
31476,66669
31477,92318
31478,98291
31479,77791
31480,124915
31481,116177
31482,48800
31483,138000
31484,50728
31485,108214
31486,55094
31487,111407
31488,538115
31489,108280
31490,32409
31491,133501
31492,118520
31493,106652
31494,131821
31495,138334
31496,290000
31497,212000
31498,83934
31499,58616
31500,119574
31501,147971
31502,85147
31503,62195
31504,118846
31505,130032
31506,231682
31507,264738
31508,66166
31509,399950
31510,179000
31511,125772
31512,76159
31513,62295
31514,54579
31515,87585
31516,100006
31517,140000
31518,210173
31519,216605
31520,100000
31521,105000
31522,160000
31523,133000
31524,66111
31525,128000
31526,88088
31527,64512
31528,67000
31529,138000
31530,73900
31531,44996
31532,109796
31533,90000
31534,85170
31535,80285
31536,90757
31537,124861
31538,171689
31539,183262
31540,175274
31541,140945
31542,125108
31543,82729
31544,86945
31545,65525
31546,65197
31547,101500
31548,89980
31549,61473
31550,48221
31551,63879
31552,75000
31553,158000
31554,127724
31555,90643
31556,65000
31557,68129
31558,64565
31559,64713
31560,113531
31561,262800
31562,58916
31563,147500
31564,61811
31565,98000
31566,130000
31567,111917
31568,86514
31569,59241
31570,71714
31571,115000
31572,96183
31573,93000
31574,142207
31575,71998
31576,143118
31577,118924
31578,109059
31579,125830
31580,230000
31581,182000
31582,70648
31583,176954
31584,86669
31585,211688
31586,75679
31587,93178
31588,85334
31589,106000
31590,140000
31591,89392
31592,89250
31593,111630
31594,109500
31595,286037
31596,133230
31597,111039
31598,100000
31599,58803
31600,104000
31601,157671
31602,88680
31603,220938
31604,105528
31605,166941
31606,84181
31607,85619
31608,116140
31609,97000
31610,50864
31611,74900
31612,94863
31613,69351
31614,67001
31615,173191
31616,106918
31617,103712
31618,81000
31619,154677
31620,168000
31621,102500
31622,108240
31623,91058
31624,98886
31625,74276
31626,106942
31627,94825
31628,95000
31629,99278
31630,211652
31631,121012
31632,88465
31633,103087
31634,77558
31635,132646
31636,77845
31637,132334
31638,105680
31639,75502
31640,54199
31641,229910
31642,99000
31643,77085
31644,157500
31645,56383
31646,134931
31647,83532
31648,78517
31649,70553
31650,59199
31651,51411
31652,90392
