customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,max,min,count,routine_flg,membership_period_monthes,calc_date,membership_period_days
OA832399,XXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.833333333333333,5.0,8,2,4,1,47,2019-04-30,1460 days 00:00:00.000000000
PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,5.083333333333333,5.0,7,3,5,1,47,2019-04-30,1460 days 00:00:00.000000000
OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,4.583333333333333,5.0,6,3,5,1,47,2019-04-30,1460 days 00:00:00.000000000
HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.833333333333333,4.5,7,2,5,1,47,2019-04-30,1460 days 00:00:00.000000000
HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,3.9166666666666665,4.0,6,1,5,1,47,2019-04-30,1460 days 00:00:00.000000000
IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3.75,3.5,5,2,4,1,47,2019-04-30,1460 days 00:00:00.000000000
HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3.9166666666666665,3.5,7,2,4,1,47,2019-04-30,1460 days 00:00:00.000000000
AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.5,4.0,9,2,5,1,47,2019-04-30,1460 days 00:00:00.000000000
AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,4.083333333333333,3.5,7,2,4,1,47,2019-04-30,1460 days 00:00:00.000000000
GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.666666666666667,4.5,7,3,5,1,47,2019-04-30,1460 days 00:00:00.000000000
OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.75,5.0,7,1,5,1,47,2019-04-30,1460 days 00:00:00.000000000
AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.5,5.0,6,3,5,1,47,2019-04-30,1460 days 00:00:00.000000000
AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.5,5.0,8,2,5,1,47,2019-04-30,1460 days 00:00:00.000000000
AS625883,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.75,5.0,6,2,5,1,47,2019-04-30,1460 days 00:00:00.000000000
HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.833333333333333,5.0,7,2,5,1,47,2019-04-30,1460 days 00:00:00.000000000
