1,東京都北区滝野川３丁目
2,東京都中央区月島３丁目
3,東京都渋谷区笹塚２丁目
4,東京都杉並区高円寺南２丁目23-2
5,東京都葛飾区金町３丁目7-2
6,東京都荒川区南千住５丁目
7,東京都練馬区東大泉３丁目
8,東京都目黒区鷹番１丁目
9,東京都文京区向丘１丁目
10,東京都板橋区板橋４丁目
11,東京都大田区西馬込１丁目30-8
12,東京都江戸川区北小岩３丁目
13,東京都港区南青山６丁目
14,東京都杉並区阿佐谷南３丁目６－５
15,東京都墨田区緑４丁目
16,東京都渋谷区幡ヶ谷３丁目39-4
17,東京都板橋区桜川３丁目10-12
18,東京都江戸川区西瑞江４丁目
19,東京都新宿区四谷三栄町
20,東京都中央区日本橋箱崎町27-9
21,東京都中野区江古田４丁目
22,東京都文京区湯島２丁目
23,東京都中央区佃１丁目
24,東京都大田区大森西１丁目
25,東京都江戸川区北小岩４丁目３８－２８
26,東京都豊島区千早４丁目32-3
27,東京都台東区台東３丁目3-1
28,東京都足立区綾瀬６丁目
29,東京都江戸川区船堀４丁目
30,東京都渋谷区上原２丁目
31,東京都豊島区高田３丁目
32,東京都江戸川区中葛西７丁目
33,東京都葛飾区奥戸９丁目
34,東京都世田谷区等々力８丁目16-7
35,東京都新宿区大京町31-4
36,東京都葛飾区亀有２丁目33-5
37,東京都練馬区石神井台３丁目6-3
38,東京都荒川区南千住１丁目
39,東京都豊島区南長崎５丁目
40,東京都葛飾区南水元１丁目7番10号
41,東京都文京区水道１丁目１２－１
42,東京都墨田区東駒形２丁目5-10
43,東京都大田区久が原５丁目2-10
44,東京都大田区久が原５丁目
45,東京都練馬区南大泉３丁目
46,東京都台東区日本堤１丁目
47,東京都墨田区京島３丁目20－15
48,東京都渋谷区宇田川町
49,東京都練馬区豊玉上１丁目
50,東京都新宿区西新宿３丁目
51,東京都世田谷区祖師谷６丁目18-8
52,東京都練馬区旭丘１丁目59-4
53,東京都台東区浅草６丁目
54,東京都世田谷区弦巻２丁目25-12
55,東京都目黒区緑が丘１丁目4-1
56,東京都江東区亀戸５丁目
57,東京都中央区新富１丁目
58,東京都中央区東日本橋３丁目
59,東京都文京区本駒込４丁目
60,東京都大田区大森西４丁目17-14
61,東京都世田谷区成城７丁目35-19
62,東京都品川区荏原６丁目
63,東京都大田区西蒲田７丁目54-7
64,東京都足立区綾瀬３丁目
65,東京都大田区南雪谷１丁目3-1
66,東京都中野区南台２丁目52-8
67,東京都荒川区西日暮里１丁目
68,東京都北区豊島２丁目7-6
69,東京都港区南青山６丁目
70,東京都豊島区北大塚３丁目
71,東京都中野区江原町１丁目20-2
72,東京都江戸川区新堀１丁目38-5
73,東京都葛飾区東金町５丁目
74,東京都江東区北砂５丁目
75,東京都文京区本郷６丁目
76,東京都足立区島根３丁目7-20
77,東京都台東区谷中７丁目18-12
78,東京都板橋区小豆沢４丁目
79,東京都中野区中野３丁目
80,東京都杉並区阿佐谷北１丁目２７－９
81,東京都世田谷区弦巻５丁目
82,東京都北区西ケ原４丁目
83,東京都板橋区赤塚３丁目22-5
84,東京都世田谷区梅丘２丁目
85,東京都渋谷区広尾１丁目
86,東京都江東区木場２丁目6-3
87,東京都豊島区池袋１丁目
88,東京都墨田区押上２丁目
89,東京都荒川区東尾久５丁目
90,東京都杉並区天沼２丁目
91,東京都北区豊島２丁目
92,東京都品川区南品川６丁目
93,東京都墨田区横川５丁目
94,東京都江戸川区南小岩５丁目15-14
95,東京都中野区南台３丁目
96,東京都中野区南台５丁目23-10
97,東京都墨田区八広４丁目
98,東京都千代田区西神田２丁目
99,東京都江東区大島９丁目４－１
100,東京都杉並区荻窪１丁目21-18
101,東京都台東区谷中２丁目9-22
102,東京都足立区東保木間２丁目
103,東京都港区西麻布４丁目15
104,東京都台東区浅草５丁目64-8
105,東京都葛飾区奥戸６丁目9-10
106,東京都杉並区荻窪１丁目35-4
107,東京都北区滝野川６丁目
108,東京都港区新橋５丁目4-2
109,東京都江東区北砂４丁目
110,東京都豊島区長崎２丁目11-10
111,東京都杉並区大宮１丁目
112,東京都世田谷区中町３丁目
113,東京都世田谷区弦巻５丁目
114,東京都大田区上池台５丁目
115,東京都江東区永代２丁目
116,東京都板橋区本町１－４
117,東京都中野区上高田２丁目16-15
118,東京都練馬区石神井町８丁目
119,東京都豊島区西巣鴨１丁目16-17
120,東京都品川区小山４丁目
121,東京都港区高輪１丁目4-6
122,東京都北区王子５丁目
123,東京都江東区大島７丁目
124,東京都世田谷区喜多見９丁目8-7
125,東京都江東区豊洲６丁目
126,東京都足立区千住旭町
127,東京都文京区小石川３丁目26-3
128,東京都足立区六月２丁目１３－１２
129,東京都葛飾区奥戸６丁目3
130,東京都練馬区大泉学園町７丁目
131,東京都目黒区鷹番２丁目
132,東京都文京区小石川４丁目1-10
133,東京都世田谷区南烏山６丁目13-6
134,東京都港区海岸３丁目8-14
135,東京都大田区大森西５丁目
136,東京都大田区西馬込２丁目31-6
137,東京都北区赤羽台３丁目
138,東京都江戸川区東小松川４丁目
139,東京都練馬区豊玉上２丁目
140,東京都墨田区亀沢１丁目
141,東京都千代田区内神田１丁目16-1
142,東京都品川区西五反田１丁目
143,東京都世田谷区祖師谷３丁目
144,東京都豊島区上池袋１丁目37-22
145,東京都板橋区板橋３丁目1-8
146,東京都足立区梅田６丁目26-10
147,東京都江戸川区南葛西２丁目３－１
148,東京都江東区平野１丁目2-2
149,東京都豊島区駒込３丁目
150,東京都江東区北砂１丁目6-3
151,東京都世田谷区上馬２丁目26-8
152,東京都江戸川区西葛西７丁目
